Store Name,Record ID,Likelyname,retailername,group
GORDLEYS IGA FOODLINER INC,283337,GORDLEYS IGA FOODLINER,GORDLEYS IGA FOODLINER,16
GREENE'S SUPER VALU,470828,GREENES SUPER VALU,GREENES SUPER VALU,16
GROOM'S GENERAL STORE,674634,GROOMS GENERAL STORE,GROOMS GENERAL STORE,16
H&L QUIK STOP,244592,HL QUIK STOP,HL QUIK STOP,16
HALLS GROCERY,536509,HALLS GROCERY,HALLS GROCERY,16
LOCUST GROVE GEN STORE,363387,LOCUST GROVE GEN STORE,LOCUST GROVE GEN STORE,16
LOCUST GROVE GEN. STORE,357245,LOCUST GROVE GEN STORE,LOCUST GROVE GEN STORE,16
LOCUST GROVE GENERAL STORE,431113,LOCUST GROVE GENERAL STORE,LOCUST GROVE GENERAL STORE,16
LOUDEN GENERAL STORE,634009,LOUDEN GENERAL STORE,LOUDEN GENERAL STORE,16
MARATHON PEE PEE GAS MT,365232,MARATHON PEE PEE GAS MT,MARATHON PEE PEE GAS MT,16
MASSIE GROCERY,693971,MASSIE GROCERY,MASSIE GROCERY,16
MONROE'S QUICK STOP,355594,MONROES QUICK STOP,MONROES QUICK STOP,16
MOR FOR LESS,329932,MOR FOR LESS,MOR FOR LESS,16
PANHANDLE GRO & PIZZA,453206,PANHANDLE GRO PIZZA,PANHANDLE GRO PIZZA,16
PANHANDLE GROCERY & PIZZA,546928,PANHANDLE GROCERY PIZZA,PANHANDLE GROCERY PIZZA,16
PARKERS DISCOUNT FOOD,393700,PARKERS DISCOUNT FOOD,PARKERS DISCOUNT FOOD,16
PEEBLES FOOD COOP,668203,PEEBLES FOOD COOP,PEEBLES FOOD COOP,16
RICH  3767,403918,RICH,RICH,16
ROME GENERAL STORE,510264,ROME GENERAL STORE,ROME GENERAL STORE,16
ROME QUICK STOP & TRADING POST,475278,ROME QUICK STOP TRADING POST,ROME QUICK STOP TRADING POST,16
ROSEMARYS CATERING & MEATS,694360,ROSEMARYS CATERING MEATS,ROSEMARYS CATERING MEATS,16
S&L CORNER MARKET,344190,SL CORNER MARKET,SL CORNER MARKET,16
SATTERFIELDS GROCERY,656082,SATTERFIELDS GROCERY,SATTERFIELDS GROCERY,16
SEAMAN 1ST STOP,413156,SEAMAN ST STOP,SEAMAN ST STOP,16
TADLOCKS GROCERY,487080,TADLOCKS GROCERY,TADLOCKS GROCERY,16
TAYLORS GROCERY,356422,TAYLORS GROCERY,TAYLORS GROCERY,16
THE SUNSHINE STORE,273933,THE SUNSHINE STORE,THE SUNSHINE STORE,16
WALKERS WINCHESTER SUPERMARKET,545918,WALKERS WINCHESTER SUPERMARKET,WALKERS WINCHESTER SUPERMARKET,16
WARD'S GROCERY,379855,WARDS GROCERY,WARDS GROCERY,16
WINCHESTER IGA INC,665441,WINCHESTER IGA,WINCHESTER IGA,16
WINCHESTER SUPER MARKET,695352,WINCHESTER SUPER MARKET,WINCHESTER SUPER MARKET,16
A TO Z PORTION MEATS,362126,A TO Z PORTION MEATS,A TO Z PORTION MEATS,16
ALDI  70,488406,ALDI,ALDI,16
ASHLEY'S MARKET,423102,ASHLEYS MARKET,ASHLEYS MARKET,16
BP FOOD MART #7474,331157,BP FOOD MART,BP FOOD MART,16
BROOKSIDE BEV WAREHOUSE #2,603869,BROOKSIDE BEV WAREHOUSE,BROOKSIDE BEV WAREHOUSE,16
CANAL STOP,429373,CANAL STOP,CANAL STOP,16
CHRISTOFF'S MKT,571277,CHRISTOFFS MKT,CHRISTOFFS MKT,16
CIMINILLO PRODUCE CO.,516286,CIMINILLO PRODUCE CO,CIMINILLO PRODUCE CO,16
CLYDE EVANS  228,646259,CLYDE EVANS,CLYDE EVANS,16
CLYDE EVANS  227,345053,CLYDE EVANS,CLYDE EVANS,16
CLYDE EVANS  885,475094,CLYDE EVANS,CLYDE EVANS,16
CLYDE EVANS  226,577311,CLYDE EVANS,CLYDE EVANS,16
CLYDE EVANS  234,570843,CLYDE EVANS,CLYDE EVANS,16
CLYDE EVANS #233,354840,CLYDE EVANS,CLYDE EVANS,16
CLYDE EVANS #235,431292,CLYDE EVANS,CLYDE EVANS,16
DAIRY MART  7269,503980,DAIRY MART,DAIRY MART,16
DAIRY MART  5200,267356,DAIRY MART,DAIRY MART,16
DAVE'S MARKETS INC #521,439956,DAVES MARKETS,DAVES MARKETS,16
DAVES MARKET INC #526,249586,DAVES MARKET,DAVES MARKET,16
DAY SPRINGS,569060,DAY SPRINGS,DAY SPRINGS,16
DEAL$-NOTHING OVER A DOLLAR 28435,305685,DEALNOTHING OVER A DOLLAR,DEALNOTHING OVER A DOLLAR,16
DOLLY MADISON  826,547414,DOLLY MADISON,DOLLY MADISON,16
ELIDA COUNTRY MARKET,704409,ELIDA COUNTRY MARKET,ELIDA COUNTRY MARKET,16
ELIDA IGA,662536,ELIDA IGA,ELIDA IGA,16
FETTERS OUTLET & MARKET,705247,FETTERS OUTLET MARKET,FETTERS OUTLET MARKET,16
FLOWERS BAKERY OUTLET,586040,FLOWERS BAKERY OUTLET,FLOWERS BAKERY OUTLET,16
FLOWERS BAKERY OUTLET,351963,FLOWERS BAKERY OUTLET,FLOWERS BAKERY OUTLET,16
FRUIT DISTRIBUTORS CASH&CARRY STR,724944,FRUIT DISTRIBUTORS CASHCARRY STR,FRUIT DISTRIBUTORS CASHCARRY STR,16
HANDY ANDY'S CARRYOUT,385158,HANDY ANDYS CARRYOUT,HANDY ANDYS CARRYOUT,16
HEARTLAND HEALTH FOOD,291073,HEARTLAND HEALTH FOOD,HEARTLAND HEALTH FOOD,16
HERMIE'S PARTY SHOP NO 3 1,299159,HERMIES PARTY SHOP NO,HERMIES PARTY SHOP NO,16
HI POINT PARTY SHOP,583531,HI POINT PARTY SHOP,HI POINT PARTY SHOP,16
HOWARD'S E-Z CHEK,645765,HOWARDS EZ CHEK,HOWARDS EZ CHEK,16
IMPERIAL DISCOUNT GRO,520818,IMPERIAL DISCOUNT GRO,IMPERIAL DISCOUNT GRO,16
J&W FOOD SALVAGE,332315,JW FOOD SALVAGE,JW FOOD SALVAGE,16
JERRY'S PARTY SHOP & DEL,309465,JERRYS PARTY SHOP DEL,JERRYS PARTY SHOP DEL,16
JERRY'S PARTY SHOP & DEL,516134,JERRYS PARTY SHOP DEL,JERRYS PARTY SHOP DEL,16
"JULIES PARTY SHOPPE, INC  ",438699,JULIES PARTY SHOPPE,JULIES PARTY SHOPPE,16
KIBBY'S KORNER PRODUCE,484510,KIBBYS KORNER PRODUCE,KIBBYS KORNER PRODUCE,16
LIMA PRODUCE CENTER,478567,LIMA PRODUCE CENTER,LIMA PRODUCE CENTER,16
LOST CREEK COUNTRY MKT,651467,LOST CREEK COUNTRY MKT,LOST CREEK COUNTRY MKT,16
MANLEY VARIETY STORE,697943,MANLEY VARIETY STORE,MANLEY VARIETY STORE,16
MIDTOWN MARKET,515220,MIDTOWN MARKET,MIDTOWN MARKET,16
NICKLES BAKERY THRIFT STORE,589353,NICKLES BAKERY THRIFT STORE,NICKLES BAKERY THRIFT STORE,16
PARENT SHOPPING CLUB OF OHIO,565453,PARENT SHOPPING CLUB OF OHIO,PARENT SHOPPING CLUB OF OHIO,16
PARENTS SHOPPING CLUB 00,515321,PARENTS SHOPPING CLUB,PARENTS SHOPPING CLUB,16
PHAR-MOR  046,293187,PHARMOR,PHARMOR,16
R. J'S DISCOUNT,477535,R JS DISCOUNT,R JS DISCOUNT,16
RAYS SUPERMARKET #105,511073,RAYS SUPERMARKET,RAYS SUPERMARKET,16
SCHWANS SALES ENT  104030,624971,SCHWANS SALES ENT,SCHWANS SALES ENT,16
