Store Name,Record ID,Likelyname,retailername,group
HOWELL'S GROCERY,659049,HOWELLS GROCERY,HOWELLS GROCERY,13
I*D*A SEAFOOD,248030,IDA SEAFOOD,IDA SEAFOOD,13
IDEAL FOOD STORE 147,719300,IDEAL FOOD STORE,IDEAL FOOD STORE,13
IDEAL FOOD STORE 151,608883,IDEAL FOOD STORE,IDEAL FOOD STORE,13
IDEIS GROCERY,445516,IDEIS GROCERY,IDEIS GROCERY,13
IDEIS MARKET,420938,IDEIS MARKET,IDEIS MARKET,13
INNER CITY ENTERPRISES,245239,INNER CITY ENTERPRISES,INNER CITY ENTERPRISES,13
ISLAND FOOD STORE #503,234790,ISLAND FOOD STORE,ISLAND FOOD STORE,13
ITALIAN IMPORTED DELICATESSEN INC,308656,ITALIAN IMPORTED DELICATESSEN,ITALIAN IMPORTED DELICATESSEN,13
J & M TOBACCO,250280,J M TOBACCO,J M TOBACCO,13
J FOOD STORE,653802,J FOOD STORE,J FOOD STORE,13
J FOOD STORES,711856,J FOOD STORES,J FOOD STORES,13
J FOOD STORES,513984,J FOOD STORES,J FOOD STORES,13
JACO'S FRUIT AND VEGETABLES,490147,JACOS FRUIT AND VEGETABLES,JACOS FRUIT AND VEGETABLES,13
JAMES THOMAS CO,233249,JAMES THOMAS CO,JAMES THOMAS CO,13
"JAMES THOMAS COMPANY,INC.  ",374592,JAMES THOMAS COMPANYINC,JAMES THOMAS COMPANYINC,13
JERNIGAN'S JIFFY,419850,JERNIGANS JIFFY,JERNIGANS JIFFY,13
JIFFY FOOD STORE,521921,JIFFY FOOD STORE,JIFFY FOOD STORE,13
JIFFY JOE'S INC,325235,JIFFY JOES,JIFFY JOES,13
JIM'S BARGAIN STORES INC,563757,JIMS BARGAIN STORES,JIMS BARGAIN STORES,13
JIM'S BARGAIN STORES INC,696804,JIMS BARGAIN STORES,JIMS BARGAIN STORES,13
JIM'S BARGAIN STORES INC,371105,JIMS BARGAIN STORES,JIMS BARGAIN STORES,13
