Store Name,Record ID,Likelyname,retailername,group
FLAT ROCK TRADING POST,636216,FLAT ROCK TRADING POST,FLAT ROCK TRADING POST,17
FULLER'S MARKET,490592,FULLERS MARKET,FULLERS MARKET,17
G AND W MARKET,272079,G AND W MARKET,G AND W MARKET,17
GOLDEN EAGLE MARKET,682739,GOLDEN EAGLE MARKET,GOLDEN EAGLE MARKET,17
GRAYSVILLE COUNTRY STORE,719852,GRAYSVILLE COUNTRY STORE,GRAYSVILLE COUNTRY STORE,17
GRAYSVILLE MARKET,397416,GRAYSVILLE MARKET,GRAYSVILLE MARKET,17
GRAYSVILLE SERV CTR & GROC,641658,GRAYSVILLE SERV CTR GROC,GRAYSVILLE SERV CTR GROC,17
HANDY MARKET,667849,HANDY MARKET,HANDY MARKET,17
HENSONS ROADSIDE VAR,626256,HENSONS ROADSIDE VAR,HENSONS ROADSIDE VAR,17
HI-WAY 68 MARKET,531786,HIWAY MARKET,HIWAY MARKET,17
"HIGHWAY 68 MARKET, INC  ",265321,HIGHWAY MARKET,HIGHWAY MARKET,17
HIWAY 68 MARKET,263765,HIWAY MARKET,HIWAY MARKET,17
HORNE'S MARKET II,631012,HORNES MARKET II,HORNES MARKET II,17
HOUSE OF HODGE PODGE,276722,HOUSE OF HODGE PODGE,HOUSE OF HODGE PODGE,17
J B ' S  ROLLING STORE,344798,J B S ROLLING STORE,J B S ROLLING STORE,17
JIFFY 7-11  8,268357,JIFFY,JIFFY,17
JIFFY 7-11  14,383315,JIFFY,JIFFY,17
KATHYS KOUNTRY STORE,240192,KATHYS KOUNTRY STORE,KATHYS KOUNTRY STORE,17
L & R GROCERY,681057,L R GROCERY,L R GROCERY,17
MORGAN'S BP,481061,MORGANS BP,MORGANS BP,17
PINE GROVE MARKET,485186,PINE GROVE MARKET,PINE GROVE MARKET,17
POOR BOYS,535814,POOR BOYS,POOR BOYS,17
REED'S GROCERY,344095,REEDS GROCERY,REEDS GROCERY,17
REED'S LAKESIDE GROCERY,610322,REEDS LAKESIDE GROCERY,REEDS LAKESIDE GROCERY,17
RODDY MARKET,353392,RODDY MARKET,RODDY MARKET,17
RODDY SHELL,410205,RODDY SHELL,RODDY SHELL,17
ROSE GROCERY,524717,ROSE GROCERY,ROSE GROCERY,17
SOUTHERN STYLE MOTEL & MARKET,492888,SOUTHERN STYLE MOTEL MARKET,SOUTHERN STYLE MOTEL MARKET,17
SUPER D #38,258884,SUPER D,SUPER D,17
THE GROCERY BAG,641343,THE GROCERY BAG,THE GROCERY BAG,17
THE PLANT PLACE,231971,THE PLANT PLACE,THE PLANT PLACE,17
THE STORE AND BAIT SHOP,395635,THE STORE AND BAIT SHOP,THE STORE AND BAIT SHOP,17
TIME SAVER MARKET,567974,TIME SAVER MARKET,TIME SAVER MARKET,17
TOMMY'S TOYS,681374,TOMMYS TOYS,TOMMYS TOYS,17
TRANZ MART #3,624775,TRANZ MART,TRANZ MART,17
WOLFE'S GROCERY,322658,WOLFES GROCERY,WOLFES GROCERY,17
ANN'S MARKET & DELI,427693,ANNS MARKET DELI,ANNS MARKET DELI,17
AUSTIN IGA FOODLINER,326938,AUSTIN IGA FOODLINER,AUSTIN IGA FOODLINER,17
AZTEX FUEL & FOOD CENTER  12,698432,AZTEX FUEL FOOD CENTER,AZTEX FUEL FOOD CENTER,17
BAYSIDE GENERAL STORE,639026,BAYSIDE GENERAL STORE,BAYSIDE GENERAL STORE,17
BLUE SPGS BOAT CO & GEN STR,635955,BLUE SPGS BOAT CO GEN STR,BLUE SPGS BOAT CO GEN STR,17
BLUE SPRINGS BOAT CO & GENERAL ST,533796,BLUE SPRINGS BOAT CO GENERAL ST,BLUE SPRINGS BOAT CO GENERAL ST,17
BREAD BOX,633584,BREAD BOX,BREAD BOX,17
BROWN'S MARKET & DELI,451673,BROWNS MARKET DELI,BROWNS MARKET DELI,17
BROWN'S PRODUCE,348480,BROWNS PRODUCE,BROWNS PRODUCE,17
CHAMBERLAIN STREET GROC,542617,CHAMBERLAIN STREET GROC,CHAMBERLAIN STREET GROC,17
CHAMBERLAIN STREET GROCERY,695458,CHAMBERLAIN STREET GROCERY,CHAMBERLAIN STREET GROCERY,17
CHAMBERLAIN STREET GROCERY,256606,CHAMBERLAIN STREET GROCERY,CHAMBERLAIN STREET GROCERY,17
CIRCLE GROCERY,485892,CIRCLE GROCERY,CIRCLE GROCERY,17
COLLEGE MARKET,499745,COLLEGE MARKET,COLLEGE MARKET,17
COLLEGE MARKET,508414,COLLEGE MARKET,COLLEGE MARKET,17
COLLEGE MKT & DELI,267599,COLLEGE MKT DELI,COLLEGE MKT DELI,17
COLLIERS MARKET,666750,COLLIERS MARKET,COLLIERS MARKET,17
CORNER FOOD MART,275700,CORNER FOOD MART,CORNER FOOD MART,17
CROSS' DELI,406626,CROSS DELI,CROSS DELI,17
CUPBOARD MARKET #2,518905,CUPBOARD MARKET,CUPBOARD MARKET,17
DAIRY MART  456,547051,DAIRY MART,DAIRY MART,17
DAIRY MART 456,568087,DAIRY MART,DAIRY MART,17
DAIRY MART 477,383835,DAIRY MART,DAIRY MART,17
DAVE'S HILLTOP MARKET INC,393331,DAVES HILLTOP MARKET,DAVES HILLTOP MARKET,17
DEVANEY'S GROCERY,269589,DEVANEYS GROCERY,DEVANEYS GROCERY,17
DOGWOOD GENERAL STORE,289016,DOGWOOD GENERAL STORE,DOGWOOD GENERAL STORE,17
DOLLAR GENERAL  3380,561502,DOLLAR GENERAL,DOLLAR GENERAL,17
DUTTONS GROCERY,467396,DUTTONS GROCERY,DUTTONS GROCERY,17
EAGLE FOOD MART,661637,EAGLE FOOD MART,EAGLE FOOD MART,17
EASY WAY FOOD MARKET,376665,EASY WAY FOOD MARKET,EASY WAY FOOD MARKET,17
EASYWAY FOOD MARKET,676438,EASYWAY FOOD MARKET,EASYWAY FOOD MARKET,17
EASYWAY FOOD MARKET,397070,EASYWAY FOOD MARKET,EASYWAY FOOD MARKET,17
EUCHIE'S CORNER FOOD MART,670370,EUCHIES CORNER FOOD MART,EUCHIES CORNER FOOD MART,17
EZXPRESS #2,596980,EZXPRESS,EZXPRESS,17
FARMER MKT OUTLET #2,529886,FARMER MKT OUTLET,FARMER MKT OUTLET,17
FARMER'S MARKET,284396,FARMERS MARKET,FARMERS MARKET,17
FARMERS MARKET,728761,FARMERS MARKET,FARMERS MARKET,17
FARMERS MKT OUTLET,501813,FARMERS MKT OUTLET,FARMERS MKT OUTLET,17
FERGUSON KWIK SHOP MKT,373988,FERGUSON KWIK SHOP MKT,FERGUSON KWIK SHOP MKT,17
FOOD LION  1449,298449,FOOD LION,FOOD LION,17
FRUITLAND USA,513283,FRUITLAND USA,FRUITLAND USA,17
GATEWAY MKT & DELI,603169,GATEWAY MKT DELI,GATEWAY MKT DELI,17
GOLDSTON'S GROCERY,329014,GOLDSTONS GROCERY,GOLDSTONS GROCERY,17
HARRELL'S SUPERMARKET #2,617832,HARRELLS SUPERMARKET,HARRELLS SUPERMARKET,17
HARRELLS SUPERMARKET #1,607137,HARRELLS SUPERMARKET,HARRELLS SUPERMARKET,17
HARRIMAN FARMERS MARKET,717567,HARRIMAN FARMERS MARKET,HARRIMAN FARMERS MARKET,17
