Store Name,Record ID,Likelyname,retailername,group
172 W BURNSIDE MEAT & GROCERY INC,714501,W BURNSIDE MEAT GROCERY,W BURNSIDE MEAT GROCERY,7
173 Gourmet Deli Grocery Inc,1132980,GOURMET DELI GROCERY,GOURMET DELI GROCERY,7
173 Mini Market Inc,841408,MINI MARKET,MINI MARKET,7
173 Mini Market Inc,966171,MINI MARKET,MINI MARKET,7
1735 Caribbean Grocery Corp,1221761,CARIBBEAN GROCERY CORP,CARIBBEAN GROCERY CORP,7
1738 Finest Deli Inc,1115209,FINEST DELI,FINEST DELI,7
1738 Finest Deli Inc,1175355,FINEST DELI,FINEST DELI,7
1738 Gunhill Food Corp,1034160,GUNHILL FOOD CORP,GUNHILL FOOD CORP,7
1749 Deli Grocery Corp,1003794,DELI GROCERY CORP,DELI GROCERY CORP,7
1749 Deli Grocery Corp,1053524,DELI GROCERY CORP,DELI GROCERY CORP,7
174TH ST MELISSA FOOD CENTER CORP,471094,TH ST MELISSA FOOD CENTER CORP,TH ST MELISSA FOOD CENTER CORP,7
174th Street Deli Corp,249879,TH STREET DELI CORP,TH STREET DELI CORP,7
1757 TJM Food Corp/Associated,886653,TJM FOOD CORPASSOCIATED,TJM FOOD CORPASSOCIATED,7
1761 Kennedy's And Deli Corp,1172814,KENNEDYS AND DELI CORP,KENNEDYS AND DELI CORP,7
1772 Randall Ave Food Corp,899363,RANDALL AVE FOOD CORP,RANDALL AVE FOOD CORP,7
178 Gourmet Deli Corp.,1281823,GOURMET DELI CORP,GOURMET DELI CORP,7
1781 Westchester Grocery & Candy Corp,940592,WESTCHESTER GROCERY CANDY CORP,WESTCHESTER GROCERY CANDY CORP,7
1785 Monroe Grocery Inc,779177,MONROE GROCERY,MONROE GROCERY,7
1791-93 Food Corp./Antillana Superfood Marketplace,1250781,FOOD CORPANTILLANA SUPERFOOD MARKETPLACE,FOOD CORPANTILLANA SUPERFOOD MARKETPLACE,7
1798 Los Primos Grocery Corp,345810,LOS PRIMOS GROCERY CORP,LOS PRIMOS GROCERY CORP,7
18 Park Hot Deli Corp,917833,PARK HOT DELI CORP,PARK HOT DELI CORP,7
18 Theo Grocery Corp,985247,THEO GROCERY CORP,THEO GROCERY CORP,7
18 Westchester Square Newsstand LLC,738728,WESTCHESTER SQUARE NEWSSTAND,WESTCHESTER SQUARE NEWSSTAND,7
180 Bus Stop Deli Inc,1255465,BUS STOP DELI,BUS STOP DELI,7
180 Deli & Grocery Corp,1171259,DELI GROCERY CORP,DELI GROCERY CORP,7
180 Express Deli Corp,995902,EXPRESS DELI CORP,EXPRESS DELI CORP,7
180 Express Deli Corp,1111645,EXPRESS DELI CORP,EXPRESS DELI CORP,7
180 La Deli Grocery Corp,1090357,LA DELI GROCERY CORP,LA DELI GROCERY CORP,7
180 Pena Grocery,949665,PENA GROCERY,PENA GROCERY,7
180 Street Deli & Grocery Inc,988981,STREET DELI GROCERY,STREET DELI GROCERY,7
1803 Penelope Grocery Inc,757889,PENELOPE GROCERY,PENELOPE GROCERY,7
1803 San Miguel Grocery,1133344,SAN MIGUEL GROCERY,SAN MIGUEL GROCERY,7
180th St Family Deli Grocery,1019859,TH ST FAMILY DELI GROCERY,TH ST FAMILY DELI GROCERY,7
180TH ST. DELI GROCERY INC,796572,TH ST DELI GROCERY,TH ST DELI GROCERY,7
181 United Deli Corp.,851580,UNITED DELI CORP,UNITED DELI CORP,7
1815 Savannah Food Corp.,1384156,SAVANNAH FOOD CORP,SAVANNAH FOOD CORP,7
181st Candy & Deli Corp,1116068,ST CANDY DELI CORP,ST CANDY DELI CORP,7
182 Willis Deli & Grocery Corp.,1368502,WILLIS DELI GROCERY CORP,WILLIS DELI GROCERY CORP,7
182nd Deli & Convenience Store Corp.,1165224,ND DELI CONVENIENCE STORE CORP,ND DELI CONVENIENCE STORE CORP,7
182nd St Deli Grocery Corp,1228773,ND ST DELI GROCERY CORP,ND ST DELI GROCERY CORP,7
