Store Name,Record ID,Likelyname,retailername,group
NORTH LOOP LIQUOR AND JR MARKET,676608,NORTH LOOP LIQUOR AND JR MARKET,NORTH LOOP LIQUOR AND JR MARKET,12
NUMERO UNO MERCADO,366580,NUMERO UNO MERCADO,NUMERO UNO MERCADO,12
O/S MEDITERRANEAN GROCERY & DELI,535222,OS MEDITERRANEAN GROCERY DELI,OS MEDITERRANEAN GROCERY DELI,12
OAK LANE LIQUOR,377561,OAK LANE LIQUOR,OAK LANE LIQUOR,12
OAK LANE LIQUOR,708391,OAK LANE LIQUOR,OAK LANE LIQUOR,12
OAK SHELL,564006,OAK SHELL,OAK SHELL,12
OASIS MINI MART,688185,OASIS MINI MART,OASIS MINI MART,12
OASIS MINI MART,725950,OASIS MINI MART,OASIS MINI MART,12
OILDALE MARKET,696230,OILDALE MARKET,OILDALE MARKET,12
OLD RIVER MARKET,376212,OLD RIVER MARKET,OLD RIVER MARKET,12
OLD TIME MEAT & DELI,658391,OLD TIME MEAT DELI,OLD TIME MEAT DELI,12
OLD TOWN KERN PRODUCE,605770,OLD TOWN KERN PRODUCE,OLD TOWN KERN PRODUCE,12
OLD TOWN MARKET,704557,OLD TOWN MARKET,OLD TOWN MARKET,12
OLD TOWNE FOOD MARKET,334566,OLD TOWNE FOOD MARKET,OLD TOWNE FOOD MARKET,12
OLD TOWNE FOOD MARKET,421317,OLD TOWNE FOOD MARKET,OLD TOWNE FOOD MARKET,12
OLE COUNTRY STORE,707188,OLE COUNTRY STORE,OLE COUNTRY STORE,12
ONE STOP MOBIL MART,633546,ONE STOP MOBIL MART,ONE STOP MOBIL MART,12
ONYX EMPORIUM,624306,ONYX EMPORIUM,ONYX EMPORIUM,12
ONYX STORE,697713,ONYX STORE,ONYX STORE,12
ORCHID'S FILIPINAS MARKET,408842,ORCHIDS FILIPINAS MARKET,ORCHIDS FILIPINAS MARKET,12
OSWELL MINI MARKET,431419,OSWELL MINI MARKET,OSWELL MINI MARKET,12
OSWELL MINI MART,644359,OSWELL MINI MART,OSWELL MINI MART,12
OUTPOST FOOD MARKET,708679,OUTPOST FOOD MARKET,OUTPOST FOOD MARKET,12
OUTPOST FOOD STORE,385635,OUTPOST FOOD STORE,OUTPOST FOOD STORE,12
OUTPOST FOOD STORE,308897,OUTPOST FOOD STORE,OUTPOST FOOD STORE,12
OUTPOST FOOD STORE,565990,OUTPOST FOOD STORE,OUTPOST FOOD STORE,12
OWENS STREET MARKET,612628,OWENS STREET MARKET,OWENS STREET MARKET,12
OWENS STREET MARKET,559384,OWENS STREET MARKET,OWENS STREET MARKET,12
P-ONE MARKET,561443,PONE MARKET,PONE MARKET,12
PALMS SUB-BOURBON LIQUOR,725276,PALMS SUBBOURBON LIQUOR,PALMS SUBBOURBON LIQUOR,12
PANADERIA CHAVELITAS,625317,PANADERIA CHAVELITAS,PANADERIA CHAVELITAS,12
PANADERIA GUADALAJARA,442272,PANADERIA GUADALAJARA,PANADERIA GUADALAJARA,12
PANADERIA GUADALAJARA,294254,PANADERIA GUADALAJARA,PANADERIA GUADALAJARA,12
PANADERIA JOSUE,629055,PANADERIA JOSUE,PANADERIA JOSUE,12
PANADERIA LATINA,356831,PANADERIA LATINA,PANADERIA LATINA,12
PANADERIA MANA #2,238798,PANADERIA MANA,PANADERIA MANA,12
PANORAMA LIQUORS,335703,PANORAMA LIQUORS,PANORAMA LIQUORS,12
PAUL'S 97 CENT STORE,683983,PAULS CENT STORE,PAULS CENT STORE,12
PAYLESS MARKET,354501,PAYLESS MARKET,PAYLESS MARKET,12
PAYLESS MARKET #2,361862,PAYLESS MARKET,PAYLESS MARKET,12
PEE WEE MARKET,317513,PEE WEE MARKET,PEE WEE MARKET,12
PEE WEE MKT,513692,PEE WEE MKT,PEE WEE MKT,12
PEOPLES MARKET,631681,PEOPLES MARKET,PEOPLES MARKET,12
PEPPER TREE MARKET INC.,377344,PEPPER TREE MARKET,PEPPER TREE MARKET,12
PERLA FRUIT STAND,691179,PERLA FRUIT STAND,PERLA FRUIT STAND,12
PETERS FOODLAND MARKET,494080,PETERS FOODLAND MARKET,PETERS FOODLAND MARKET,12
PINKY'S LIQUOR STORE,565017,PINKYS LIQUOR STORE,PINKYS LIQUOR STORE,12
PIZZAVILLE,671212,PIZZAVILLE,PIZZAVILLE,12
PLAZA MEXICO,581255,PLAZA MEXICO,PLAZA MEXICO,12
POLA'S MARKET,309361,POLAS MARKET,POLAS MARKET,12
POND MARKET,627325,POND MARKET,POND MARKET,12
POUND'S GROCERY,374615,POUNDS GROCERY,POUNDS GROCERY,12
PUMPKIN CENTER MARKET,383233,PUMPKIN CENTER MARKET,PUMPKIN CENTER MARKET,12
PUMPKIN CENTER MARKET,378128,PUMPKIN CENTER MARKET,PUMPKIN CENTER MARKET,12
PUMPKIN CENTER MARKET,349577,PUMPKIN CENTER MARKET,PUMPKIN CENTER MARKET,12
QUALITY MEAT CO,498649,QUALITY MEAT CO,QUALITY MEAT CO,12
