Store Name,Record ID,Likelyname,retailername,group
CVS PHARMACY 1856,954981,CVS,CVS PHARMACY,2
CVS PHARMACY 7178,1031982,CVS,CVS PHARMACY,2
CVS/PHARMACY 10883,1240189,CVS,CVSPHARMACY,2
D.K. FOOD STORES,535819,DK FOOD STORES,DK FOOD STORES,2
Daily Mart,1479335,DAILY MART,DAILY MART,2
Dandy Market,558834,DANDY MARKET,DANDY MARKET,2
DOLLAR GENERAL 1394,356360,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 1373,361312,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 6106,663614,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 1382,735135,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 1635,736458,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 8041,736518,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 9661,736708,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 7143,736923,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 10535,737003,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 8602,758934,DOLLAR GENERAL,DOLLAR GENERAL,2
DOLLAR GENERAL 8043,758741,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 11538,920470,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 11865,968418,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 12647,995716,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 13291,1036930,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 14702,1129423,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 14673,1132322,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 19744,1352284,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 20486,1376456,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 21728,1429947,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General 22217,1449555,DOLLAR GENERAL,DOLLAR GENERAL,2
Dollar General Store 16564,1252592,DOLLAR GENERAL,DOLLAR GENERAL STORE,2
Dollar Tree 135,862226,DOLLAR TREE,DOLLAR TREE,2
Dollar Tree 310,980645,DOLLAR TREE,DOLLAR TREE,2
Dollar Tree 6522,1027807,DOLLAR TREE,DOLLAR TREE,2
Dollar Tree 4748,1089008,DOLLAR TREE,DOLLAR TREE,2
Dollar Tree 282,1251768,DOLLAR TREE,DOLLAR TREE,2
Dollar Tree 135,1289502,DOLLAR TREE,DOLLAR TREE,2
DOLLARTREE 8851,1475124,DOLLAR TREE,DOLLARTREE,2
Earth Fare 560,1208076,EARTH FARE,EARTH FARE,2
Earth Origins Market 12,470017,EARTH ORIGINS MARKET,EARTH ORIGINS MARKET,2
EARTH ORIGINS MARKET 11,411769,EARTH ORIGINS MARKET,EARTH ORIGINS MARKET,2
Earth Origins Market 12,1332195,EARTH ORIGINS MARKET,EARTH ORIGINS MARKET,2
Eastern Market,1017724,EASTERN MARKET,EASTERN MARKET,2
Eastern Market,1408721,EASTERN MARKET,EASTERN MARKET,2
Economart Food And Beverage,1166539,ECONOMART FOOD AND BEVERAGE,ECONOMART FOOD AND BEVERAGE,2
El Milagro Latin Market And Deli LLC,1131046,EL MILAGRO LATIN MARKET AND DELI,EL MILAGRO LATIN MARKET AND DELI,2
Erika,1472279,ERIKA,ERIKA,2
Ermon Owens,1223586,ERMON OWENS,ERMON OWENS,2
Ernest Crab Shack,930342,ERNEST CRAB SHACK,ERNEST CRAB SHACK,2
EVERYDAY KWIK STOP,783035,EVERYDAY KWIK STOP,EVERYDAY KWIK STOP,2
EXPRESS LANE (OM INC),843270,EXPRESS LANE OM,EXPRESS LANE OM,2
EZ FOOD MART,301520,EZ FOOD MART,EZ FOOD MART,2
EZ FOOD MART,827361,EZ FOOD MART,EZ FOOD MART,2
FAIRBANKS COUNTRY CORNER MARKET,567307,FAIRBANKS COUNTRY CORNER MARKET,FAIRBANKS COUNTRY CORNER MARKET,2
FAMILY DISC FD STORE,515328,FAMILY DISC FD STORE,FAMILY DISC FD STORE,2
Family Discount Food Store,1348435,FAMILY DISCOUNT FOOD STORE,FAMILY DISCOUNT FOOD STORE,2
Family Dollar 5883,871975,FAMILY DOLLAR,FAMILY DOLLAR,2
Family Dollar 8950,1050175,FAMILY DOLLAR,FAMILY DOLLAR,2
Family Dollar Store 3170,836025,FAMILY DOLLAR,FAMILY DOLLAR STORE,2
Family Dollar Store 3005,836013,FAMILY DOLLAR,FAMILY DOLLAR STORE,2
Family Dollar Store 981,850131,FAMILY DOLLAR,FAMILY DOLLAR STORE,2
Family Dollar Store 6385,850179,FAMILY DOLLAR,FAMILY DOLLAR STORE,2
Family Dollar Store 1684,911036,FAMILY DOLLAR,FAMILY DOLLAR STORE,2
Family Dollar Store 8396,983425,FAMILY DOLLAR,FAMILY DOLLAR STORE,2
Fast Track 200,1025046,FAST TRACK,FAST TRACK,2
FAST TRACK FOODS 220,605172,FAST TRACK FOODS,FAST TRACK FOODS,2
FAST TRACK FOODS  253,416520,FAST TRACK FOODS,FAST TRACK FOODS,2
FJ's Emporium,1063586,FJS EMPORIUM,FJS EMPORIUM,2
Flowers Bakery Thrift Store 50000056,759525,FLOWERS BAKERY THRIFT STORE,FLOWERS BAKERY THRIFT STORE,2
Flowers Baking Co. Of Jacksonville,1102113,FLOWERS BAKING CO OF JACKSONVILLE,FLOWERS BAKING CO OF JACKSONVILLE,2
FOOD LION 713,683423,FOOD LION,FOOD LION,2
FOOD LION 1154,665482,FOOD LION,FOOD LION,2
Food Max 1,1075937,FOOD MAX,FOOD MAX,2
Food Max Food Store,1057902,FOOD MAX FOOD STORE,FOOD MAX FOOD STORE,2
Fords Produce & More,875734,FORDS PRODUCE MORE,FORDS PRODUCE MORE,2
Foxys,912715,FOXYS,FOXYS,2
Gainesvile Mini Super Market,1071380,GAINESVILE MINI SUPER MARKET,GAINESVILE MINI SUPER MARKET,2
Gainesville Bp,987847,GAINESVILLE BP,GAINESVILLE BP,2
Gainesville Community Ministry,1048481,GAINESVILLE COMMUNITY MINISTRY,GAINESVILLE COMMUNITY MINISTRY,2
GAINESVILLE FOOD STORE,250408,GAINESVILLE FOOD STORE,GAINESVILLE FOOD STORE,2
GAINESVILLE FOOD STORE,759240,GAINESVILLE FOOD STORE,GAINESVILLE FOOD STORE,2
Gainesville Food Store,1115004,GAINESVILLE FOOD STORE,GAINESVILLE FOOD STORE,2
Gainesville Food Store,1187483,GAINESVILLE FOOD STORE,GAINESVILLE FOOD STORE,2
Gainesville Shell 251,1230581,GAINESVILLE SHELL,GAINESVILLE SHELL,2
Gainesville Super Market,1381083,GAINESVILLE SUPER MARKET,GAINESVILLE SUPER MARKET,2
Gainesville Supermarket,1014568,GAINESVILLE SUPERMARKET,GAINESVILLE SUPERMARKET,2
Gainesville Supermarket,1159630,GAINESVILLE SUPERMARKET,GAINESVILLE SUPERMARKET,2
Gainsville Shell,1480220,GAINSVILLE SHELL,GAINSVILLE SHELL,2
GATE PETROLEUM 1445,237488,GATE PETROLEUM,GATE PETROLEUM,2
GATE PETROLEUM 1137,603700,GATE PETROLEUM,GATE PETROLEUM,2
GATOR CONVENIENCE,446709,GATOR CONVENIENCE,GATOR CONVENIENCE,2
Gator Convenience,1001588,GATOR CONVENIENCE,GATOR CONVENIENCE,2
Gator Convenience,1184740,GATOR CONVENIENCE,GATOR CONVENIENCE,2
Gator Convenient And Food Mart,1303223,GATOR CONVENIENT AND FOOD MART,GATOR CONVENIENT AND FOOD MART,2
Gator Food Mart,1116372,GATOR FOOD MART,GATOR FOOD MART,2
Gator Food Mart,1205257,GATOR FOOD MART,GATOR FOOD MART,2
Gator Spirit,1164370,GATOR SPIRIT,GATOR SPIRIT,2
GATOR SPIRIT DISC FD & BEV #1,512500,GATOR SPIRIT DISC FD BEV,GATOR SPIRIT DISC FD BEV,2
Gator Spirit Food Store,1446395,GATOR SPIRIT FOOD STORE,GATOR SPIRIT FOOD STORE,2
GNV Market At Heartwood,1423560,GNV MARKET AT HEARTWOOD,GNV MARKET AT HEARTWOOD,2
Great Treat 3,1440590,GREAT TREAT,GREAT TREAT,2
Green Apple,1381905,GREEN APPLE,GREEN APPLE,2
GROVE PARK GROCERY,468728,GROVE PARK GROCERY,GROVE PARK GROCERY,2
Grove Street Farmers' Market,1422886,GROVE STREET FARMERS MARKET,GROVE STREET FARMERS MARKET,2
Gulf Coast Chevron,1030214,GULF COAST CHEVRON,GULF COAST CHEVRON,2
Gville Seafood N Chicken,1270180,GVILLE SEAFOOD N CHICKEN,GVILLE SEAFOOD N CHICKEN,2
Halal Meat & Fish Market,1351227,HALAL MEAT FISH MARKET,HALAL MEAT FISH MARKET,2
Harvest Health & Whole Foods LLC,935556,HARVEST HEALTH WHOLE FOODS,HARVEST HEALTH WHOLE FOODS,2
Hawthorne Community Market,1243330,HAWTHORNE COMMUNITY MARKET,HAWTHORNE COMMUNITY MARKET,2
Hawthorne Food Mart II,1167474,HAWTHORNE FOOD MART II,HAWTHORNE FOOD MART II,2
Hawthorne Markets Inc. 5525,1361574,HAWTHORNE MARKETS,HAWTHORNE MARKETS,2
Hawthorne Rd Fresh Market,1454295,HAWTHORNE RD FRESH MARKET,HAWTHORNE RD FRESH MARKET,2
Hawthorne Whistle Stop,915000,HAWTHORNE WHISTLE STOP,HAWTHORNE WHISTLE STOP,2
HIGH SPRINGS FARMER MARKET,815282,HIGH SPRINGS FARMER MARKET,HIGH SPRINGS FARMER MARKET,2
High Springs Sunoco,1311537,HIGH SPRINGS SUNOCO,HIGH SPRINGS SUNOCO,2
High Springs Sunoco Inc.,1160647,HIGH SPRINGS SUNOCO,HIGH SPRINGS SUNOCO,2
HITCHCOCK'S,870778,HITCHCOCKS,HITCHCOCKS,2
HITCHCOCK'S,870772,HITCHCOCKS,HITCHCOCKS,2
HITCHCOCK'S,870768,HITCHCOCKS,HITCHCOCKS,2
Hitchcock's 6350,1349653,HITCHCOCKS,HITCHCOCKS,2
HITCHCOCK'S FOODWAY,707452,HITCHCOCKS FOODWAY,HITCHCOCKS FOODWAY,2
HITCHCOCK'S FOODWAY,284167,HITCHCOCKS FOODWAY,HITCHCOCKS FOODWAY,2
HITCHCOCK'S SUPERVALU FOODS,723908,HITCHCOCKS SUPERVALU FOODS,HITCHCOCKS SUPERVALU FOODS,2
Hitchcocks 6364,1349706,HITCHCOCKS,HITCHCOCKS,2
Hitchcocks Market 6352,1349677,HITCHCOCKS MARKET,HITCHCOCKS MARKET,2
In N Out,1468796,IN N OUT,IN N OUT,2
INDIA BAZAAR,697954,INDIA BAZAAR,INDIA BAZAAR,2
INDIA MART,876424,INDIA MART,INDIA MART,2
India Spice,999466,INDIA SPICE,INDIA SPICE,2
Indian Spice,1316792,INDIAN SPICE,INDIAN SPICE,2
International Grocery & Deli,1109767,INTERNATIONAL GROCERY DELI,INTERNATIONAL GROCERY DELI,2
ISLAND FOOD STORE  320,315534,ISLAND FOOD STORE,ISLAND FOOD STORE,2
ISLAND FOOD STORE 300,387378,ISLAND FOOD STORE,ISLAND FOOD STORE,2
ISLAND FOOD STORE 413,437864,ISLAND FOOD STORE,ISLAND FOOD STORE,2
ISLAND FOOD STORE 400,599944,ISLAND FOOD STORE,ISLAND FOOD STORE,2
Island Foods 320,967313,ISLAND FOODS,ISLAND FOODS,2
J & H United Inc BP Shop,1152843,J H UNITED BP SHOP,J H UNITED BP SHOP,2
J & S DISCOUNT BER. & FOOD MART,307315,J S DISCOUNT BER FOOD MART,J S DISCOUNT BER FOOD MART,2
Jiffy #1559 1559,1133448,JIFFY,JIFFY,2
Johnson Crabs,994638,JOHNSON CRABS,JOHNSON CRABS,2
KANGAROO EXPRESS 1106,572919,KANGAROO EXPRESS,KANGAROO EXPRESS,2
KANGAROO EXPRESS 6059,445157,KANGAROO EXPRESS,KANGAROO EXPRESS,2
Kangaroo Express 6066,570340,KANGAROO EXPRESS,KANGAROO EXPRESS,2
KANGAROO EXPRESS 1305,481018,KANGAROO EXPRESS,KANGAROO EXPRESS,2
Kangaroo Express 3918,905237,KANGAROO EXPRESS,KANGAROO EXPRESS,2
Kangaroo Express 8018,1284229,KANGAROO EXPRESS,KANGAROO EXPRESS,2
Kangaroo Express,1430282,KANGAROO EXPRESS,KANGAROO EXPRESS,2
Kellys Kwik Stop,937370,KELLYS KWIK STOP,KELLYS KWIK STOP,2
Kmart 3424,357581,KMART,KMART,2
KOALA STOP,856702,KOALA STOP,KOALA STOP,2
Koala Stop,881248,KOALA STOP,KOALA STOP,2
Kwik Stop,884861,KWIK STOP,KWIK STOP,2
Kwik Stop,1059940,KWIK STOP,KWIK STOP,2
Kwik Stop,1119245,KWIK STOP,KWIK STOP,2
Kwik Stop,1157294,KWIK STOP,KWIK STOP,2
Kwik Stop BP,995901,KWIK STOP BP,KWIK STOP BP,2
Kwik Stop Chevron,1214419,KWIK STOP CHEVRON,KWIK STOP CHEVRON,2
KWIK STOP TEXACO,804278,KWIK STOP TEXACO,KWIK STOP TEXACO,2
La Aurora Latin Supermarket,843227,LA AURORA LATIN SUPERMARKET,LA AURORA LATIN SUPERMARKET,2
LA FORTUNA LATIN MARKET & DELI,800400,LA FORTUNA LATIN MARKET DELI,LA FORTUNA LATIN MARKET DELI,2
LIL' CHAMP 1003,548182,LIL CHAMP,LIL CHAMP,2
LIL' CHAMP  194,290090,LIL CHAMP,LIL CHAMP,2
LIL' CHAMP 6231,559181,LIL CHAMP,LIL CHAMP,2
Love's Travel Stop 620,1257975,LOVES TRAVEL STOP,LOVES TRAVEL STOP,2
Lucky's Market 16,1181111,LUCKYS MARKET,LUCKYS MARKET,2
Maa & Paa Grocery Store,1073235,MAA PAA GROCERY STORE,MAA PAA GROCERY STORE,2
Maa And Paa Grocery Store,1461131,MAA AND PAA GROCERY STORE,MAA AND PAA GROCERY STORE,2
Mahi Mahi Discount Stop,1078049,MAHI MAHI DISCOUNT STOP,MAHI MAHI DISCOUNT STOP,2
Marilyn's Fresh Produce,1105318,MARILYNS FRESH PRODUCE,MARILYNS FRESH PRODUCE,2
MATS KWIK STOP,799711,MATS KWIK STOP,MATS KWIK STOP,2
MCINTOSH GROCERY,860024,MCINTOSH GROCERY,MCINTOSH GROCERY,2
MERITA BREAD 641,529309,MERITA BREAD,MERITA BREAD,2
MERITA BREAD 631,467787,MERITA BREAD,MERITA BREAD,2
Micanopy Chevron 1,1165267,MICANOPY CHEVRON,MICANOPY CHEVRON,2
Micanopy Country Store,1107763,MICANOPY COUNTRY STORE,MICANOPY COUNTRY STORE,2
Monique's Candyland,1235492,MONIQUES CANDYLAND,MONIQUES CANDYLAND,2
MONTEOCHA STORE,835001,MONTEOCHA STORE,MONTEOCHA STORE,2
Murphy Express 8728,1342337,MURPHY EXPRESS,MURPHY EXPRESS,2
NEW ASIA ORIENTAL MARKET,833585,NEW ASIA ORIENTAL MARKET,NEW ASIA ORIENTAL MARKET,2
NEWBERRY COLD STORAGE,594894,NEWBERRY COLD STORAGE,NEWBERRY COLD STORAGE,2
Newberry Main Street Org.inc. Dba Farmers Market,1120488,NEWBERRY MAIN STREET ORGINC DBA FARMERS MARKET,NEWBERRY MAIN STREET ORGINC DBA FARMERS MARKET,2
Newberry Markets Inc. 5528,1361566,NEWBERRY MARKETS,NEWBERRY MARKETS,2
NORTHWEST SEAFOOD,677428,NORTHWEST SEAFOOD,NORTHWEST SEAFOOD,2
Northwest Seafood,1069955,NORTHWEST SEAFOOD,NORTHWEST SEAFOOD,2
Northwood Texaco,1290746,NORTHWOOD TEXACO,NORTHWOOD TEXACO,2
Nut N Honey,1157519,NUT N HONEY,NUT N HONEY,2
Oaks Exxon,971749,OAKS EXXON,OAKS EXXON,2
Oakwood Convenience Store,1312690,OAKWOOD CONVENIENCE STORE,OAKWOOD CONVENIENCE STORE,2
ON THE WAY,902965,ON THE WAY,ON THE WAY,2
ONE STOP CHEVRON 5,828437,ONE STOP CHEVRON,ONE STOP CHEVRON,2
One Stop Shop,1307959,ONE STOP SHOP,ONE STOP SHOP,2
Orange And Blue Store,1117236,ORANGE AND BLUE STORE,ORANGE AND BLUE STORE,2
Orange And Blue Stores 2,960647,ORANGE AND BLUE STORES,ORANGE AND BLUE STORES,2
Orange Heights Shell,890450,ORANGE HEIGHTS SHELL,ORANGE HEIGHTS SHELL,2
Oriental 88,906963,ORIENTAL,ORIENTAL,2
Oriental Food & Gift Market,1055760,ORIENTAL FOOD GIFT MARKET,ORIENTAL FOOD GIFT MARKET,2
ORIENTAL FOOD MARKET,979430,ORIENTAL FOOD MARKET,ORIENTAL FOOD MARKET,2
Paradise Convenience Store 01,950002,PARADISE CONVENIENCE STORE,PARADISE CONVENIENCE STORE,2
Paradise Convenience Store 002,1079766,PARADISE CONVENIENCE STORE,PARADISE CONVENIENCE STORE,2
Paradise Convenience Store 2,1263765,PARADISE CONVENIENCE STORE,PARADISE CONVENIENCE STORE,2
PARK'S PLACE,524711,PARKS PLACE,PARKS PLACE,2
Pat's Kwik Stop 2,1009964,PATS KWIK STOP,PATS KWIK STOP,2
Pat's Kwik Stop 3,1009977,PATS KWIK STOP,PATS KWIK STOP,2
PATS KWIK STOP,824357,PATS KWIK STOP,PATS KWIK STOP,2
PEARL COUNTRY STORE,714756,PEARL COUNTRY STORE,PEARL COUNTRY STORE,2
Phoenix Super Food Store,1352082,PHOENIX SUPER FOOD STORE,PHOENIX SUPER FOOD STORE,2
"PORTER'S MARKET & DELI, INC.  ",495100,PORTERS MARKET DELI,PORTERS MARKET DELI,2
PORTER'S MARKET AND DELI,784315,PORTERS MARKET AND DELI,PORTERS MARKET AND DELI,2
PUBLIX 1376,247122,PUBLIX,PUBLIX,2
PUBLIX 0125,720324,PUBLIX,PUBLIX,2
PUBLIX 0795,473072,PUBLIX,PUBLIX,2
PUBLIX 0435,452198,PUBLIX,PUBLIX,2
PUBLIX 0306,378019,PUBLIX,PUBLIX,2
PUBLIX 0527,624476,PUBLIX,PUBLIX,2
PUBLIX 0537,644139,PUBLIX,PUBLIX,2
PUBLIX 0680,724034,PUBLIX,PUBLIX,2
PUBLIX 0690,420802,PUBLIX,PUBLIX,2
PUBLIX 0735,668077,PUBLIX,PUBLIX,2
PUBLIX 1111,760009,PUBLIX,PUBLIX,2
PUBLIX 1038,764227,PUBLIX,PUBLIX,2
PUBLIX 1312,894045,PUBLIX,PUBLIX,2
Publix 1505,1215651,PUBLIX,PUBLIX,2
Publix Super Markets 1560,1282748,PUBLIX,PUBLIX SUPER MARKETS,2
Putul Kwiw Stop Inc,1305955,PUTUL KWIW STOP,PUTUL KWIW STOP,2
Quik Mart,1158303,QUIK MART,QUIK MART,2
Raceway 6953,1183891,RACEWAY,RACEWAY,2
Raceway 6840,1320693,RACEWAY,RACEWAY,2
Raceway6840 2,873667,RACEWAY,RACEWAY,2
Riddling Groves Produce Barn,1456829,RIDDLING GROVES PRODUCE BARN,RIDDLING GROVES PRODUCE BARN,2
Rite Stop Food Mart,424856,RITE STOP FOOD MART,RITE STOP FOOD MART,2
Rogers Farm,988028,ROGERS FARM,ROGERS FARM,2
Rose Food Store 1,965329,ROSE FOOD STORE,ROSE FOOD STORE,2
Rose Food Store,1230793,ROSE FOOD STORE,ROSE FOOD STORE,2
Roses Express 687,1306940,ROSES EXPRESS,ROSES EXPRESS,2
S & S 0048,412285,S S,S S,2
S&S Food Stores #40 40,982391,SS FOOD STORES,SS FOOD STORES,2
SAFE ID 4 Families,992656,SAFE ID FAMILIES,SAFE ID FAMILIES,2
Sai Kwik Stop,1396370,SAI KWIK STOP,SAI KWIK STOP,2
SAI USA,893905,SAI USA,SAI USA,2
Sam's Club 8155,865394,SAMS CLUB,SAMS CLUB,2
Sam's Club 8155,1244444,SAMS CLUB,SAMS CLUB,2
Save A Lot,279835,SAVE A LOT,SAVE A LOT,2
SAVE A LOT 61225,285685,SAVE A LOT,SAVE A LOT,2
Save A Lot 24785,1239923,SAVE A LOT,SAVE A LOT,2
Save A Lot 61225,1480974,SAVE A LOT,SAVE A LOT,2
SAVE-A-LOT 798,1081482,SAVEALOT,SAVEALOT,2
Sean Express Inc I,945657,SEAN EXPRESS I,SEAN EXPRESS I,2
SHIBLU KWIK STOP,864950,SHIBLU KWIK STOP,SHIBLU KWIK STOP,2
Shop N Fill Exxon,1108413,SHOP N FILL EXXON,SHOP N FILL EXXON,2
SHREEJI GAS & DELI,846641,SHREEJI GAS DELI,SHREEJI GAS DELI,2
SHRIJI & HR MINI MART,817051,SHRIJI HR MINI MART,SHRIJI HR MINI MART,2
SMI Foodmart,863544,SMI FOODMART,SMI FOODMART,2
Star Food Mart,1070237,STAR FOOD MART,STAR FOOD MART,2
Star Food Mart,1070240,STAR FOOD MART,STAR FOOD MART,2
Star Food Mart,1238308,STAR FOOD MART,STAR FOOD MART,2
STOP & GO TEXACO,410502,STOP GO TEXACO,STOP GO TEXACO,2
Stop & Shop 5,1092983,STOP SHOP,STOP SHOP,2
Stop & Shop,1097990,STOP SHOP,STOP SHOP,2
Stop & Shop 5,1301960,STOP SHOP,STOP SHOP,2
Stop & Shop   5,1221811,STOP SHOP,STOP SHOP,2
STOP AND SHOP 2,804477,STOP AND SHOP,STOP AND SHOP,2
Stop N Go 2,297592,STOP N GO,STOP N GO,2
Stop N Go,991295,STOP N GO,STOP N GO,2
Stop N Go,1287112,STOP N GO,STOP N GO,2
STOP N GO #3,530390,STOP N GO,STOP N GO,2
Stop N Shop # 4,946519,STOP N SHOP,STOP N SHOP,2
Stop Point,1235548,STOP POINT,STOP POINT,2
Sun Food Mart,940472,SUN FOOD MART,SUN FOOD MART,2
SUN STORE,743435,SUN STORE,SUN STORE,2
Sun Store,1135467,SUN STORE,SUN STORE,2
Sun Store,1212767,SUN STORE,SUN STORE,2
Sun Store,1380171,SUN STORE,SUN STORE,2
Sun Store,1427153,SUN STORE,SUN STORE,2
SUNNY FOOD MART,760952,SUNNY FOOD MART,SUNNY FOOD MART,2
SUNNY FOOD MART,806164,SUNNY FOOD MART,SUNNY FOOD MART,2
SUNNY FOOD MART,911911,SUNNY FOOD MART,SUNNY FOOD MART,2
Sunny Foodmart 0,1429985,SUNNY FOODMART,SUNNY FOODMART,2
Sunoco 2527 2527,1037999,SUNOCO,SUNOCO,2
Sunoco 2528 2528,1038004,SUNOCO,SUNOCO,2
Sunoco Waldo 4,1127044,SUNOCO WALDO,SUNOCO WALDO,2
Sunrise Food Mart,503444,SUNRISE FOOD MART,SUNRISE FOOD MART,2
